establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,page_number,source,scraped_at
Prashanthi Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"TM Road, Rangenahalli",,CKM00093AYCOC,31 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.990951
ANUGRAHA DIABETES AND ENDOCRINOLOGY CENTER,Clinic/Polyclinic Only Consultation,Allopathy,"No.2-599/1/A, Opp. big Bazar, Jagat. Kalaburagi",KALABURAGI,GLB00607ALCOC,09 Aug 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.084734
KALAKALESHWAR CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,NEAR POST OFFICE AT POST GUDUR SC,,BGK00245AYCWD,27 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.172314
RURAL INDIA HEALTH PROJECT,Hospital (Level 1B),Allopathy,"Ammathi, Siddapur Road, Virajpet Taluk",,KDG00114ALH1B,03 Jul 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.239249
BLESSING CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"BASAVARADDI COMLEX, BELLATTI",,GDG00086ALMDL,13 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.300810
SHREE HARI DIABETES FOUNDATION,Clinic/Polyclinic Only Consultation,Allopathy,"# 176, HARIKRUPA ANIKETHANA ROAD, 1ST CROSS, KUVEMPUNAGAR, MYSORE - 570023",MYSORE,MYS00422ALCOC,09 May 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.404208
Meera healthcare,Clinic/Polyclinic with Dispensary,Ayurveda,"Meera health-care clinic, Main road Bajagoli, karkala TQ",,UDP00681AYCWD,05 Apr 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.493332
Cure well Hospital,Hospital (Level 1A),Allopathy,1-7-5C Khuba plot jajee Layout Kalaburagi,KALABURAGI,GLB00475ALH1A,21 Feb 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.586564
M/s MANAGULI HOSPITAL,Hospital (Level 1A),Allopathy,Near Vidhyaranya School Shahapur,,YDR00412ALH1A,06 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.678871
SRI VEERABHADRASWAMY CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"SHOP NO 1, AIRPORT ROAD, BAGALUR VILLAGE AND POST BANGALORE NORTH - 562149.",BANGALORE,BLU04251AYCOC,14 Feb 2028,4,KPME Karnataka Portal,2026-01-19T09:49:55.779816
UDUPA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,HALLADI HARKADI KUNDAPURA TALUK UDUPI DISTRICT,UDUPI,UDP00597AYCWD,04 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:55.884221
NISARGA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,OPPOSITE SRI VEERAPULIKESHI BANK GANACHARI COMPLEX BADAMI,,BGK00322AYCOC,29 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:56.001278
CHETHANA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"# 2151, AKBAR ROAD, MANDI MOHALLA, MYSORE - 570001",MYSORE,MYS00471ALCOC,26 May 2027,4,KPME Karnataka Portal,2026-01-19T09:49:56.076927
SRI KUMAR VIJAY POLY CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,Near Bus Stop Kerur,,BGK00472AYCOC,16 Aug 2027,4,KPME Karnataka Portal,2026-01-19T09:49:56.149069
VEDAANT EYE CARE AND HEALTH CENTRE,Hospital (Level 2),Allopathy,"1st Floor, Indira Heights Complex, Near Tatwadarsha Hospital, Shiggaon Layout, Vidyanagar, Hubballi",,DWR00476ALHL2,27 Aug 2027,4,KPME Karnataka Portal,2026-01-19T09:49:56.216349
HEAL AND HEALTH CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"D.NO.2-418, GT ROAD, NANDAVARA JUNCTION, PANEMANGALORE, BANTWAL",MANGALORE,DKA01772AYCWD,24 Aug 2028,4,KPME Karnataka Portal,2026-01-19T09:49:56.283626
SRI POORNA CHILD HEALTH CARE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.11,12 JNANAKSHI ARCADE ,OPP TO JNANAKSHI SCHOOL ,RAJARAJESHWARI NAGAR ,BANGALORE -560098.",BANGALORE,BLU03498ALCDS,14 Jul 2027,4,KPME Karnataka Portal,2026-01-19T09:49:56.348448
SRI HANUMAN CLINIC,AYUSH Therapy Centre,Ayurveda,"TIPPURUDODDABELAVANGALA HOBLI, DODDABALLAPURA TALUK, BANGALORE RURAL DISTRICT-561203.",BANGALORE,BLR00087AYATC,20 Oct 2026,4,KPME Karnataka Portal,2026-01-19T09:49:56.440130
Ortho Clinic,Clinic/Polyclinic with Dispensary,Allopathy,Dr Shashiraj Shetty K K Shetty Building Near S B I Padubidri,,UDP00804ALCWD,23 Aug 2027,4,KPME Karnataka Portal,2026-01-19T09:49:56.513717
DOCTORS AVENUE,Clinic/Polyclinic Only Consultation,Allopathy,"GROUND FLOOR, WEST GATE TERMINUS BUILDING, FALNIR ROAD, MANGALORE",MANGALORE,DKA00596ALCOC,12 Dec 2026,4,KPME Karnataka Portal,2026-01-19T09:49:56.608353
Neo Health Clinics,Clinic/Polyclinic with Observation,Allopathy,"Legacy Building, 1st floor, Above IDFC Bank, Neeladri Road, Electronic City Phase 1, Bangalore",BANGALORE,BLU04940ALCWO,21 Jun 2028,4,KPME Karnataka Portal,2026-01-19T09:49:56.703827
SUSHMA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"# 146, SUSHMA CLINIC, MOKSHA MARGA, SIDDARTHA LAYOUT, MYSORE - 570011",MYSORE,MYS00174ALCOC,16 Nov 2026,4,KPME Karnataka Portal,2026-01-19T09:49:56.771819
SHREE DANESHWARI CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"At Post. KOTUR, Tq. Dist. Dharwad-580011",DHARWAD,DWR00336HOCOC,24 Jul 2026,4,KPME Karnataka Portal,2026-01-19T09:49:56.862144
Aarogyam Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Aarogram clinic kodathi village Road Carmelaram post, Bengaluru",BENGALURU,BLU02149AYCOC,03 Aug 2026,4,KPME Karnataka Portal,2026-01-19T09:49:56.927141
Srilakshmi nursing home,Hospital (Level 2),Allopathy,"100 feet road,6th cross, near Ganapathi Temple, opp oxford school, Ravindranagar",,SMG00126ALHL2,23 Dec 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.016776
MIRACLE HEALTH HOSPITAL AND LAB,Hospital (Level 1A),Allopathy,"NO.8 AND 10, Y.N COMPLEX, UTTARAHALLI MAIN ROAD, DR.VISHNUVARDHAN ROAD, NEAR ROAYAL MART, BANGALORE-560061.",BANGALORE,BLU02012ALH1A,17 Jun 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.096759
SRI SAPTHAGIRI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"#189/2, JANATA COLONY, YARANDAHALLI, HENNAGARA POST, ANEKAL TALUK, BANGALORE-560105.",BANGALORE,BLU02103AYCOC,21 Jul 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.193228
PINK APPLE HEALTH CARE,Clinic/Polyclinic Only Consultation,Allopathy,"# 1372/A , GROUND FLOOR , 31ST B CROSS , 4TH T BLOCK , JAYANAGAR ,BANGALORE -560041",BANGALORE,BLU02123ALCOC,26 Jul 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.255866
JANATHA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"SURVEY NO 10/3, ABDUL RAZAK BUILDING, SHOP NO, 03. GOLLAHALLI MAIN ROAD, NEAR WIPRO GATE - No -6 SHIKARIPALYA , HULIMANGALA ANEKAL TALUK.",,BLU02150AYCOC,03 Aug 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.335774
S S HOSPITAL,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Near ALG Crescent School, Mahadevpet Madikeri",,KDG00036ALCDS,01 Aug 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.394239
NISARGA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,JOGIMATTI ROAD CHITRADURGA,CHITRADURGA,CTR00115AYCOC,03 Aug 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.467006
"Vikram Clinical Laboratories &amp; Research Centre,",Clinic/Polyclinic with Dispensary,Allopathy,"#7/1, Paramahamsa Road, Yadavagiri, Mysore.",MYSORE,MYS00127ALCWD,02 Sep 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.551786
CHITTARAGI HOSPITAL,Hospital (Level 2),Allopathy,"Shri Brahmanand Ashram Road, RABAKAVI",,BGK00348ALHL2,07 Jun 2027,4,KPME Karnataka Portal,2026-01-19T09:49:57.636011
HEALTH CARE CLINIC,Clinic/Polyclinic with Observation,Allopathy,"NEAR BUS STOP, NAVALUR",,DWR00337ALCWO,24 Jul 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.712120
JANANI DIAGNOSTIC CENTER,Clinic/Polyclinic with Diagnostic Support,Allopathy,S.N.PET MAIN ROAD KEWA COMPLEX BESIDE LAKSHMI VENKATESHWARA TEMPLE BALLARI,BALLARI,BEL00248ALCDS,07 Sep 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.809836
ARUNA MEDICAL & SURGICAL CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,MAIN ROAD MOODUBELLE,,UDP00481AYCWD,28 Nov 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.913768
JANANI DENTAL CLINIC,Dental Lab or Clinic,Allopathy,S.N PET MAIN ROAD KEWA COMPLEX BESIDE LAKSHMI VENKATESHWARA TEMPLE,,BEL00255ALDEN,07 Sep 2026,4,KPME Karnataka Portal,2026-01-19T09:49:57.976970
BINKADAKATTI CLINIC,Clinic/Polyclinic with Diagnostic Support,Ayurveda,BASTIBANA NEAR PUMPMA CIRLCE LAXMESHWAR,,GDG00028AYCDS,02 Jul 2026,4,KPME Karnataka Portal,2026-01-19T09:49:58.078794
NETHRALAYA EYE HOSPITAL,Hospital (Level 1A),Allopathy,"Near Private Bus Stand, Beside Maruthi Nursing Home, Hosadurga Town, Chitradurga District",CHITRADURGA,CTR00157ALH1A,01 Dec 2026,4,KPME Karnataka Portal,2026-01-19T09:49:58.165831
PRASAD CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,ANANDAPURAM SHETTER COMPLEX SAGAR ROAD NEAR GOVERNMENT HOSPITAL ANANDAPURAM SAGAR THALUK SHIMOGA,,SMG00198AYCOC,04 Apr 2027,4,KPME Karnataka Portal,2026-01-19T09:49:58.242394
NOVUS RETINA AND EYECARE,Clinic/Polyclinic with Observation,Allopathy,"1st floor, 2nd A cross, 1st block, HSR- Hosapalya main road, # 9 , Hosapalya, Bommanahalli p.o. Bangalore-560068",BANGALORE,BLU02761ALCWO,13 Dec 2026,4,KPME Karnataka Portal,2026-01-19T09:49:58.336504
SHUSHRUSHA HOSPITAL,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"#421/357, B.B.ROAD, YELAHANKA OLD TOWN, BANGALORE-560064.",BANGALORE,BLU02801ALHL3,24 Dec 2026,4,KPME Karnataka Portal,2026-01-19T09:49:58.430559
TRUECARE POLY CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Devi Prasad,S.No 41/17 & 41/2 of Padu Village, Main road Kaup Kaup Taluk Udupi district.- 574106",UDUPI,UDP00596ALCDS,03 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:58.513822
JYOTI CLINIC JEWARGI,Clinic/Polyclinic Only Consultation,Ayurveda,SAJJAN COMPLEX SHOP NO .2 AND 3 FIRST FLOOR B B ROAD TQ.JEWARGI DIST.KALABURAGI -585310,KALABURAGI,GLB00459AYCOC,13 Feb 2027,4,KPME Karnataka Portal,2026-01-19T09:49:58.596937
DWARAKAMAYI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,LOT NO5 3RD BLOCKNARASIMHASWAMY NAGARSAMPIGE HALLI NATIONAL PARK BANNERGATTA BANGALORE,BANGALORE,BLU03053ALCOC,22 Feb 2027,4,KPME Karnataka Portal,2026-01-19T09:49:58.689341
YASH HOSPITAL,Specialty / Super-Specialty Specific Hospital,Allopathy,4924/3 MAHADWAR ROAD BELGAUM,BELGAUM,BLG00668ALSSH,15 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:58.787252
SAI DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"M.G.ROAD, NEAR GOVT GENERAL HOSPITAL, CHINTHAMANI",,CBR00063ALDEN,04 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:58.896779
Care and Cure Clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,"U-01, Green glen layout, ORR, Bellandur, Bengaluru -560103",BENGALURU,BLU03761ALCDS,19 Sep 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.002939
HINDLABS,Medical Diagnostic Laboratory,Allopathy,"975/2 SUMAN FLAZA, FIRST FLOOR CIVIL HOSPITAL ROAD AYODYA NAGAR BELAGAVI TQ/DT-BELAGAVI-590001",BELAGAVI,BLG00511ALMDL,12 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.104191
FAMILY HEALTH CARE CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"178/179, TV CENTRE, OPP. BUDA COMPLEX, BELAGAVI, 590019",BELAGAVI,BLG00536AYCWD,12 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.177236
H P Polyclinic,Clinic/Polyclinic Only Consultation,Allopathy,"NO 1,GROUND FLOOR,NEAR GOVERNAMENT BUS STAND,OPPOSITE APMC MARKET,B H ROAD,TARIKERE",,CKM00088ALCOC,31 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.265726
SPANDANA NURSING HOME,Hospital (Level 2),Allopathy,DR RAJKUMAR ROAD HULIYAR C.N.HALLI TALUK TUMKUR DISTRICT,,TMK00349ALHL2,12 Apr 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.354760
ASHWINI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"# 1691/N99, BASAVANAGUDI MAIN ROAD, TENT CIRCLE, KYATHAMARANAHALLI, K N PURA, MYSURU",MYSURU,MYS01970AYCOC,11 Nov 2030,4,KPME Karnataka Portal,2026-01-19T09:49:59.432969
Jaya Shree Clinic,Clinic/Polyclinic Only Consultation,Allopathy,Lions Bhavans Road,,BLR00142ALCOC,03 Apr 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.504111
SIDDHI CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,SITARAM COMPLEX BRAHMAVARA UDUPI,UDUPI,UDP00579AYCWD,01 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.585165
WELL CARE CLINIC AND LAOBORATORY,Clinic/Polyclinic with Diagnostic Support,Allopathy,"# 54, DODDAKAVALANDE, KAVALANDE HOBLI, NANJANGUD TALUK, MYSURU",MYSURU,MYS00525ALCDS,01 Jun 2027,4,KPME Karnataka Portal,2026-01-19T09:49:59.680072
Joshys Medical Center,Clinic/Polyclinic with Observation,Allopathy,"First Floor, No.40, MSH Layout, 1st Cross, Anandanagar, Bangalore - 560024",BANGALORE,BLU02748ALCWO,13 Dec 2026,4,KPME Karnataka Portal,2026-01-19T09:49:59.751479
Sri Skanda Ayurveda,Clinic/Polyclinic with Observation,Ayurveda,"No. 34, 2nd cross, Kaveri layout, Vijayanagar, Bangalore.",BANGALORE,BLU05165AYCWO,02 Aug 2028,4,KPME Karnataka Portal,2026-01-19T09:49:59.835885
PETERS DIAGNOSTICS,Clinic/Polyclinic with Diagnostic Support,Allopathy,"F -46, COMFORT TOWERS, OPP KALPANA THEATRE, OLD POST OFFICE ROAD, UDUPI 576101",UDUPI,UDP00472ALCDS,28 Nov 2026,4,KPME Karnataka Portal,2026-01-19T09:49:59.898013
MANDAKNALLI NEURO PSYCHIATRY HOSPITAL AND ALCOHOL DEADDICTION CENTRE,Hospital (Level 1A),Allopathy,"RAM MANDIR CIRCLE, JEWARGI ROAD, KALABURAGI-585102",KALABURAGI,GLB00338ALH1A,30 Sep 2026,4,KPME Karnataka Portal,2026-01-19T09:50:00.004260
MYSORE DIAGNOSTIC CENTRE PVT LTD,Diagnostic Imaging Centre,Allopathy,"# 1869, S S COMPLEX, 1ST FLOOR, OPP SATHYANARAYANA TEMPLE NEAR, RMC BUS STOP, MYSORE - 570021",MYSORE,MYS00245ALDIC,15 Dec 2026,4,KPME Karnataka Portal,2026-01-19T09:50:00.101643
2,1,1 2 3 4 5 6 7 8 9 10 ...,3,,5,4,4,KPME Karnataka Portal,2026-01-19T09:50:00.184096
3,2,1,4,,6,5,4,KPME Karnataka Portal,2026-01-19T09:50:00.278975
CARE AND CURE POLY CLINIC &DIAGNOSTICS CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.3/1,19TH A MAIN ,13TH CROSS,SRI VENKATESHWARA LAYOUT ,MADIWALA ,BTM 1ST STAGE ,BENGALORE -560068",,BLU02300ALCDS,29 Aug 2026,5,KPME Karnataka Portal,2026-01-19T09:50:03.971153
SHRI DURGA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,HONNALA BRAHMAVARA UDUPI,UDUPI,UDP00465AYCWD,28 Nov 2026,5,KPME Karnataka Portal,2026-01-19T09:50:04.061123
NEWTOWN DIAGNOSTICS & HEALTHCARE,Diagnostic Imaging Centre,Allopathy,971/29 15TH A CROSS A SECTOR YELAHANKA NEWTOWN BANGALORE 64,BANGALORE,BLU02551ALDIC,29 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:04.151032
Anand Nursing Home,Hospital (Level 2),Allopathy,Ashok Nagar 2nd cross Ranebennur,,HVR00464ALHL2,29 Feb 2028,5,KPME Karnataka Portal,2026-01-19T09:50:04.227586
VIDYADHAR ORTHOPEDIC CENTRE,Clinic/Polyclinic with Observation,Allopathy,"NO 34, 7TH CROSS,6TH C MAIN, HMT LAYOUT RT NAGAR",,BLU07156ALCWO,24 Mar 2029,5,KPME Karnataka Portal,2026-01-19T09:50:04.321012
Shigihalli Shivappa Memorial Hospital,Hospital (Level 2),Allopathy,"Next to KSRTC bus Stand, Hangal Road Haveri",HAVERI,HVR00265ALHL2,02 Feb 2027,5,KPME Karnataka Portal,2026-01-19T09:50:04.410941
HARISHS MEDI LAB DIAGNOSTIC CENTRE,Medical Diagnostic Laboratory,Allopathy,"Opp. Vanavasi Ram Mandir, Station Road, Malamaddi, Dharwad.",DHARWAD,DWR00372ALMDL,27 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:04.493017
MAHALAKSHMI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"SARVAJANIKA HOSTEL ROAD, VIDYARANYAPURAM, MYSORE",MYSORE,MYS00857ALCOC,12 Jun 2028,5,KPME Karnataka Portal,2026-01-19T09:50:04.586576
Dr JAYAPRAKASH CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"#43 2ND MAIN ,7TH CROSS PJ EXTENSION DAVANAGERE",DAVANAGERE,DVG00263ALCOC,13 Feb 2027,5,KPME Karnataka Portal,2026-01-19T09:50:04.663744
AROGYA DIAGNOSTIC LABORATORY,Medical Diagnostic Laboratory,Allopathy,"SHIVAKRUPA, KNO-547,IST FLOOR, NEAR MANI HOSPITAL, HASSAN",HASSAN,HSN00126ALMDL,16 Mar 2027,5,KPME Karnataka Portal,2026-01-19T09:50:04.721287
PATHANJALI AROGYADHAMA,Hospital (Level 1A),Yoga and Naturopathy,"DOOR NO-558/E, KADGI ROAD, NH 66, KUNDAPURA",,UDP00370YNH1A,29 Sep 2026,5,KPME Karnataka Portal,2026-01-19T09:50:04.819295
shambhavi dental clinic,Dental Lab or Clinic,Allopathy,"shambhavi dental clinic, suvarna theatre road, jamkhandi, pin-587301",,BGK00748ALDEN,03 Apr 2029,5,KPME Karnataka Portal,2026-01-19T09:50:04.906532
Dreams Foundation,Hospital (Level 1A),Allopathy,"Survey No.150, Hosapalya Village, Thataguni post , Kengeri Hobli, Bangalore - 560082",BANGALORE,BLU02446ALH1A,07 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:04.976395
J K SPECIALITY HOSPITAL,Hospital (Level 1A),Allopathy,"NO.8/3,SOMPURA VILLAGE ,KATHA NO.1737/1744,AGALAKUPPE GRAMAPANCHAYATH,NELAMANGALA,BENGALORE RURAL DISTRICT -562111",,BLR00052ALH1A,30 Sep 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.019905
SPANDAN CLINIC AND JANANI FERTILITY CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"GF-04, LUXO-ANTIGO APPARTMENT HEMANT NAGAR MAIN ROAD KESHWAPUR HUBLI",HUBLI,DWR00369ALCDS,27 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.066153
Kanthi Nursing Home,Hospital (Level 2),Allopathy,APMC Cross Kanthi Nagar Sikkeri Road Navanagar Bagalkot,,BGK00224ALHL2,20 Dec 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.129528
SWASTHYA AYURVEDA CONSULTATION & PANCHAKARMA CENTER,AYUSH Therapy Centre,Ayurveda,"Plot no 2171, near Shivaterth appartment, Mahantesh nagar kanbargi road Belagavi",BELAGAVI,BLG00731AYATC,29 Jul 2027,5,KPME Karnataka Portal,2026-01-19T09:50:05.172644
Kiranagi Clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,Near T.V Station Humnabad road Kalaburagi-585103,KALABURAGI,GLB00490ALCDS,13 Mar 2027,5,KPME Karnataka Portal,2026-01-19T09:50:05.235253
MAHADESWARA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"IDIGA MASJID BUILDING # ES 3 M G S ROAD, NANJANGUD, MYSORE - 571301",MYSORE,MYS00314ALCOC,10 Jan 2027,5,KPME Karnataka Portal,2026-01-19T09:50:05.333061
ST JOSEPH HOSPITAL,Hospital (Level 1B),Allopathy,"KAKKINJE, NERIYA ROAD,BELTHANGADY",,DKA00558ALH1B,06 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.416972
MED ORTHO CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO 1309 , POORNAPRAJNA LAYOUT MAIN ROAD , UTTARAHALLI , BANGALORE-560061",BANGALORE,BLU02488ALCOC,15 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.515980
SRI GANESHA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,SRI BANASHANKARI NILAYA DOOR NO 926/1A NITTUVALLI MAIN ROAD BHAGATH SING NAGARA DAVANAGERE,DAVANAGERE,DVG00260ALCOC,13 Feb 2027,5,KPME Karnataka Portal,2026-01-19T09:50:05.606143
TANMAY Diagnostic Center,Diagnostic Imaging Centre,Allopathy,"#276, Near Corporation Bank, Anjananagar, Magadi Main Road, Bangalore",BANGALORE,BLU02484ALDIC,10 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.696913
SANJEEVINI HEALTH CARE,Clinic/Polyclinic Only Consultation,Ayurveda,SANJEEVINI HEALTH CARE HUNASAGI TQ.,,YDR00139AYCOC,21 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.789644
Sri Sai Nethralaya Eye Clinic & Opticals,Clinic/Polyclinic with Observation,Allopathy,"No.3, SHOP NO 5 , GROUND FLOOR ,KHB LAYOUT, KENGERI SATELLITE TOWN ,BANGALORE 560060",BANGALORE,BLU02471ALCWO,10 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.875611
Vedika Clinic Medicals,Clinic/Polyclinic Only Consultation,Allopathy,"P No. 58, Sy No. 25, K No. 44, G F Andrahalli Main Road, Hegganahalli, Bangalore- 560091",BANGALORE,BLU02806ALCOC,29 Dec 2026,5,KPME Karnataka Portal,2026-01-19T09:50:05.970721
Sanjeevini Multi Speciality Hospital,Hospital (Level 2),Allopathy,"Hanchinamani Arcade, near old bus stand road, Shiggaon",,HVR00234ALHL2,10 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.064498
TEATREE HEALTHCARE PVT LTD,Hospital (Level 2),Allopathy,"#3, Plot No.37/2A Off, Hosur Rd, AECS Layout - A Block, Singasandra, Bengaluru, Karnataka 560068",BENGALURU,BLU02527ALHL2,22 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.151067
ARYA VAIDYA SALA KOTTAKKAL,AYUSH Therapy Centre,Ayurveda,14/1 MARUDEVA ENCLAVE 5TH CROSS 9TH MAIN JAYANAGAR 2ND BLOCK BANGALORE-560011,BANGALORE,BLU03815AYATC,27 Sep 2027,5,KPME Karnataka Portal,2026-01-19T09:50:06.238871
SIDDHAROODA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,WALMIKI CIRCLE HUNASAGI,,YDR00134AYCOC,21 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.335016
M/s KEERTHI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,HUNASAGI ROAD KAKKERA,,YDR00136AYCOC,21 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.425422
HEALTH BLOOM POLY CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"No.795, 4th Main, BEML Layout, Thubarahalli, Bangalore -560066",BANGALORE,BLU02416ALCDS,24 Sep 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.512568
SAHARA POLYCLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO 461 , 4TH CROSS , C .K NAGAR , ELECTRONIC CITY POST , BANGALORE -560100",BANGALORE,BLU02482ALCOC,10 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.554720
SRI VIJAYLAXMI SAIDAPUR HOSPITAL,Hospital (Level 1B),Allopathy,AMAR LAYOUT YADAGIRI,,YDR00119ALH1B,22 Sep 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.585288
SHRI DHANAVANTRI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO 397/ 27 , 2ND MAIN , KAVIKA LAYOUT , DEEPANJALI NAGAR , BANGALORE-560026",BANGALORE,BLU02491ALCOC,15 Oct 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.613961
AddressHealth Child Speciality Clinic,Clinic/Polyclinic with Dispensary,Allopathy,"#133, 2nd Floor, Bank of Baroda Building, Vijayashree Layout, Hulimavu Gate",,BLU02027ALCWD,18 Jun 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.678075
DEVA MATA DISPENSARY,Clinic/Polyclinic Only Consultation,Ayurveda,"Russian Colony, Opp. Forest Office, Kargal, Sagar Taluk",,SMG00055AYCOC,09 Jun 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.772990
KALBURGI CEMENT PRIVATE LIMITED,Clinic/Polyclinic with Dispensary,Allopathy,CHATRASALA VILLAGE KHARCHKHED POST CHINCHOLI TALUKA KALABURAGI DISTRICT,KALABURAGI,GLB00132ALCWD,24 Jan 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.867964
Anusha diagnostic centre,Diagnostic Imaging Centre,Allopathy,Dr Prashantha Ishwar H S M C Road Mandya,MANDYA,MAN00039ALDIC,19 Jan 2026,5,KPME Karnataka Portal,2026-01-19T09:50:06.986843
SANJEEVINI HEART CARE CENTER,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#10, GROUND FLOOR, 80 FEET ROAD, SBM COLONY, BSK FIRST STAGE, BENGALURU- 560050",BENGALURU,BLU12504ALCDS,04 Nov 2030,5,KPME Karnataka Portal,2026-01-19T09:50:07.082186
